nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm2076868,Leslie Jones,\N,\N,actress,"tt0106179,tt0120901,tt0204993,tt0242733"
nm2095085,Victoria Jackson,\N,\N,sound_department,tt1334555
nm2114510,Tim Robinson,\N,\N,actor,tt0497043
nm2141165,Dean Edwards,\N,\N,"editorial_department,visual_effects,art_department","tt1529670,tt0482481,tt0354333,tt2551436"
nm2159521,Phil Hartman,\N,\N,"visual_effects,special_effects","tt0844479,tt0409182,tt2417108"
nm2163846,Mike Myers,\N,\N,visual_effects,tt0079945
nm2193928,Tom Davis,1949,\N,nan,"tt0123338,tt0496360,tt9822404,tt0787424"
nm2212031,Abby Elliott,1987,\N,"actress,soundtrack,writer","tt1411238,tt1291150,tt1663143,tt0072562"
nm2213674,Tom Davis,\N,\N,"editorial_department,sound_department","tt3748528,tt0816711,tt0458339,tt1446714"
nm2221621,Tom Davis,\N,\N,actor,"tt0770745,tt1474200,tt0882741"
nm2251356,Chris Elliott,\N,\N,miscellaneous,tt0861343
nm2264620,Tim Robinson,\N,\N,actor,"tt0427848,tt0803030,tt0758745,tt0818620"
nm2269751,Tom Davis,\N,\N,actor,tt0494235
nm2275887,John Milhiser,\N,\N,"actor,writer,editor","tt1289401,tt4061080,tt5990096,tt0072562"
nm2323596,Mike O'Brien,\N,\N,nan,"tt1636331,tt1636189,tt4397866,tt0181269"
nm2354000,Michael O'Donoghue,\N,\N,sound_department,"tt1811323,tt0840371,tt1642373"
nm2379655,Dennis Miller,\N,\N,editor,tt0119277
nm2385054,Chris Elliott,\N,\N,actor,tt0972846
nm2396934,Michael McKean,\N,\N,camera_department,tt0129910
nm2460645,Tim Robinson,\N,\N,"actor,music_department",tt0382382
nm2511320,Jeff Richards,\N,\N,actor,tt0368257
nm2522357,Mike O'Brien,\N,\N,location_management,"tt0104512,tt0238303,tt0238305,tt0238304"
